Starting ID,Outgoing ID,Line Type, Connection
1,77,0,Test Connection
10,77,0,Test Connection
14,77,0,Test Connection
16,77,0,Test Connection
20,77,0,Test Connection
24,77,0,Test Connection
26,77,0,Test Connection
34,77,0,Test Connection
36,77,0,Test Connection
40,77,0,Test Connection
45,77,0,Test Connection
51,77,0,Test Connection
55,77,0,Test Connection
61,77,0,Test Connection
64,77,0,Test Connection
66,77,0,Test Connection
71,77,0,Test Connection
75,77,0,Test Connection
76,77,0,Test Connection
77,78,0,Test Connection
